cell_line_name,alpha,beta,SF2,R2,AUC
BC-3C,0.186007827348773,0.0,0.471985664,0.9244631,3.62676485165488
Capan-2,0.351119292180457,0.0,0.212502171,0.7520879,1.91968519844567
DBTRG-05MG,0.261033327800067,0.0,0.42362097,0.4672248,2.6691810342596
T.T,0.0,0.026830661693184,0.959198203,0.9928786,4.30802338619138
HCC-44,0.0,0.0261840094984794,0.853311392,0.9831558,4.36434640393384
NCI-H1793,0.110926683382932,0.0,0.688530993,0.8126138,5.09529066250088
HT-1376,0.0646375522414992,0.0028860625262084,0.865951793,0.9847604,5.84605296127811
AM-38,0.0,0.0212264124612814,0.875583419,0.9396612,4.84994998129404
SNU-886,0.238979479321582,0.0098090589736193,0.488869907,0.9764943,2.41521298553298
SNU-1041,0.258268129759933,0.0,0.487667695,0.9639749,2.6980371184114
Panc 10.05,0.121794393756524,0.0186854554735546,0.714093113,0.9864792,3.16214791065129
RT-112,0.145977369074167,0.0317336111789598,0.738795854,0.9906311,2.37619657599827
KYSE-510,0.0,0.0247770388578199,1.007191535,0.9727028,4.49175234332348
VMRC-RCZ,0.273367335634971,0.0044332174271508,0.664540768,0.9942527,2.34338629689465
LCLC-103H,0.0392434093856217,0.0273348716139979,0.850518732,0.9985208,3.67345766096968
SCaBER,0.516906980279788,0.0,0.471294655,0.9743049,1.14270540346607
EFE-184,0.0839848971444418,0.0151590108704535,1.028839428,0.9515006,3.84176711750238
OE21,0.23189360015557,0.0280412476436206,0.693997421,0.9859544,1.9075373527672
TE-11,0.214210012508939,0.0334381693407489,0.737475267,0.9759344,1.88796908305551
ML-1,0.238941817800847,0.0,0.483783259,0.939353,2.91191258225102
PK-45H,0.0389743119678959,0.0072912698265647,0.870070487,0.9829806,5.81081941568309
HCC1954,0.328814537294911,0.0,0.56312252,0.9967834,2.07549671062834
ZR-75-30,0.0591533373253468,0.0,0.894529315,0.8525519,6.57755420490781
MDA-MB-231,0.325253475693843,0.0,0.667719065,0.9543368,2.1019550465198
NCI-H1975,0.242887309686849,0.0,0.45348309,0.812519,2.86644782704569
NCI-H727,0.0970903464757849,0.0,0.695361784,0.6891899,5.4457866300608
A2780,0.664806693091533,0.0,0.12650071,0.8608037,0.771767837650299
NCI-H322,0.01184375,0.0201875,0.912587167,0.9838533,4.72583187347141
SNB75,0.162299079682984,0.0053645748414051,0.72640496,0.9937329,3.53399167807992
DK-MG,0.259754892681517,0.0,0.665972241,0.9894383,2.68247015745844
FU-OV-1,0.196969953965203,0.0046292041442016,0.6445884,0.9654496,3.11991606451176
Hs 934.T,0.238443906613935,0.0074754702220415,0.575338204,0.9485445,2.52018223296911
RERF-LC-AI,0.230532526831662,0.0337613282757616,0.325516948,0.9659872,1.78781812987825
NCI-H2291,0.166670922317789,0.0,0.656893391,0.9359933,3.94556259904557
YD-38,0.0,0.0451474906616299,0.819785544,0.982175,3.17457275371276
DAN-G,0.0,0.036366650105348,0.798942346,0.9916498,3.62668807176537
CAL-148,0.580414768486884,0.0,0.193417902,0.8901165,0.959057545285619
SK-N-SH,0.358430417181372,0.0,0.308686009,0.7759375,1.87209634066394
KALS-1,0.139363941665692,0.0,0.675034507,0.8785119,4.46127529868367
NCI-H1395,0.0719776720214523,0.0,0.797551529,0.5969675,6.16428276190144
NCI-H1792,0.214331768965624,0.0167629568335974,0.802175359,0.9754828,2.35152578581734
CAL-54,0.338530700924265,0.0,0.601835385,0.9133541,2.00557778029882
KU-19-19,0.160322484281462,0.0098155603007407,0.689586048,0.9522351,3.23807108268356
LN-229,0.18275997617425,0.0048490828602064,0.690638627,0.9829558,3.26987240984408
SNU-899,0.153446776764797,0.0,0.532212114,0.5036756,4.18500821184965
PA-TU-8988T,0.0240578448289345,0.0228931586149077,0.894802439,0.9972232,4.24279683794243
KNS-60,0.22511953315519,0.0246641757472426,0.709523376,0.9642897,2.02929606342519
Hey-A8,0.537891114891185,0.0,0.203395217,0.5551974,1.07710583112357
SNU-478,0.32332344016786,0.0071574703391947,0.777281667,0.976694,1.88708730068994
IGR-1,0.0981149987746893,0.0214307967828372,0.755260304,0.9933338,3.28187341819651
NCI-H1869,0.0498171945555499,0.0,0.851032207,0.6474727,6.90048663989857
JHH-1,0.154474785956898,0.0,0.858320248,0.9741277,4.16572471918811
SW 1271,0.200064570136009,0.0111499606654643,0.652899222,0.9938826,2.7150301146873
COLO-680N,0.24984375,0.00040625,0.638753154,0.9912449,2.76516666669965
CAL-51,0.357720177130501,0.0,0.522475493,0.9838758,1.87664815087192
GOS-3,0.128121944708591,0.0,0.682369195,0.8829003,4.69902043924248
KURAMOCHI,0.0927262679243147,0.0017532473719503,0.868464838,0.9627944,5.28048444254593
WM-266-4,0.118270265119613,0.0052556280502345,0.87883676,0.9873497,4.2739471210723
RT4,0.231956136213422,0.0,0.645208496,0.8737521,2.99480848169593
